,Mean,Variance_LH,Skewness_LH,Kurtosis_LH,Variance_HL,Skewness_HL,Kurtosis_HL,Variance_HH,Skewness_HH,Kurtosis_HH,Device
0,27739.9,3022937562.49,1.817732429502382,1.7178060558320034,5285203013.49,2.62764932480718,4.9831809767555875,3582407894.29,2.2967042287920347,3.747508079067928,GP1
1,27739.9,3403082357.6900005,2.265225047410909,3.631758689584334,3872896375.090001,2.4821566366570416,4.479625971657243,3694252008.8900003,2.3908195498575795,4.126677498697878,GP1
2,27739.9,5155127359.09,2.5792009377069576,4.812756548616456,6555104392.890001,2.6655723088953067,5.107685989375073,5946509935.89,2.6471152242158733,5.047501152190868,GP1
3,27739.9,3916275165.09,2.3750410697909667,4.050699821814056,5051212115.290001,2.605758508521412,4.907677999538739,3523391702.4900007,2.027601401658165,2.6178407360673637,GP1
4,27739.9,2346587996.8900003,1.520415282717358,0.457633099286165,2490408886.0900006,1.4995323031823935,0.3188799546904493,3594384003.4900007,2.472840465970928,4.46315944495575,GP1
5,27739.9,3307568131.29,2.224194400260686,3.4620104240501997,4544330882.290001,2.5936694813403793,4.873255354908574,4090252128.290001,2.4717784337757913,4.4267893223932075,GP1
6,27739.9,2665987057.2900004,1.9859888038343996,2.525757799646586,2947707805.8900003,2.2168151440685033,3.479625645960012,2981030018.8900003,2.252015098878169,3.631676676370697,GP1
7,307293.7,726949168235.21,2.643984968940601,5.037067795133245,823825941299.0099,2.6662003057466093,5.109653092364885,792794650810.4099,2.664530611532229,5.1044086632140715,IPH
8,307293.7,739988370301.61,2.652007756857189,5.063732538615378,808964073672.01,2.6654096184974265,5.107161841493022,379085182864.81006,1.519812882258623,0.34234227441706766,IPH
9,307293.7,697937960984.8099,2.652815898155813,5.06661997702364,587514979981.21,2.5046801177229923,4.541199020189167,615942047251.21,2.55494639460177,4.72568710251481,IPH
10,307293.7,688677523351.0099,2.638089895427204,5.017756237318725,412872824126.81,1.937583642368965,2.229816090072225,430886704288.81,2.025474924425571,2.6091892454106524,IPH
11,307293.7,781031699433.01,2.661682439688294,5.095256106965126,716311217085.61,2.6394720501363813,5.02192527838986,817858211334.8098,2.6660421012674616,5.109157541426477,IPH
12,307293.7,796160066866.0099,2.6635115205348447,5.101118685419495,730231219642.61,2.655475908928402,5.075349634523203,771692760871.4099,2.658542676665507,5.085089037992537,IPH
13,400958.5,1228209946522.65,2.651543287675449,5.062382553475219,1047061538648.05,2.5496373046934298,4.706405359511231,1221243568238.85,2.636068368887426,5.010427124413679,N10
14,400958.5,1256891168099.05,2.648156563774366,5.050945542774457,1379929188671.25,2.6657568684289488,5.108262417347714,1281800131807.25,2.6511370525302183,5.0608053968192515,N10
15,400958.5,1190492941234.85,2.637495970608653,5.015475302144072,1300088789563.45,2.658206302378355,5.084018488910909,1180568835564.85,2.6234034988600343,4.967316494901561,N10
16,307293.7,345415315150.61005,1.512181991861073,0.3212634830314456,414228969549.01,1.883559627527829,1.9916286350231918,799243053956.8099,2.664741304714312,5.105055402912482,N10
17,307293.7,766538376907.8099,2.6622754128574133,5.09725117205325,612927282356.4099,2.5573568987246587,4.734500352453758,816099240309.6099,2.6655168785712076,5.107495409465992,N10
18,307293.7,431939899529.61005,1.9992371597777892,2.4954245561978636,608866417594.8099,2.555023403215453,4.726465766830815,505368791359.2101,2.3630760723623796,4.001356700308397,S8P
19,307293.7,716099803900.6099,2.642475549958851,5.032040259993719,681928228498.2098,2.6234826093813512,4.967661836864197,598352989450.61,2.527588189899714,4.625918443973192,S8P
20,307293.7,806686146326.8099,2.6654315823550503,5.107234276752791,798627452430.0099,2.663591509084066,5.1013703145154015,678764652640.61,2.633479744234579,5.002715403044279,S8P
21,307293.7,810318503729.2098,2.665240403247193,5.106621060906502,417286813920.61,1.8526799781199692,1.854701548653094,559867230967.4099,2.5677616113264916,4.784517144628146,S8P
22,307293.7,574808374072.21,2.4793943676284207,4.4466065486197826,794128921246.61,2.6630787181596625,5.099730690972159,391115879882.41003,1.6631975002212163,1.0032160829634078,S8P
23,307293.7,774329427274.4099,2.661896310217755,5.0959692529906615,608263739547.01,2.53411008055746,4.649759205796658,754612035757.2101,2.6544302338033425,5.071667909761716,S8P
24,307293.7,698102085394.8099,2.6366234040041223,5.012456083579078,728516101127.61,2.653379072811931,5.068391305905909,491736701244.81006,2.301999181717984,3.7571490919366832,S8P
25,307293.7,346070851601.6101,1.571620085414242,0.5994773919239318,364278278561.2101,1.6707088419991114,1.0470105877116298,564053631500.41,2.580581975813649,4.828825463046271,S8P
26,27739.9,3225398586.69,2.2178799127198476,3.4409406768881636,5020310827.49,2.6313757113348473,4.997470903924872,5292053857.290001,2.6255397463137142,4.975480072976145,SN3
27,27739.9,2843657175.4900002,2.0988989067762205,2.9851777689399466,3609594250.290001,2.4124018325599477,4.216952028636647,3909754574.8900003,2.485131875381358,4.487600303284054,SN3
28,27739.9,3529580414.690001,2.05903642758209,2.752612770065455,3526058228.8900003,2.0313069582605148,2.6335076644354585,5680602075.29,2.630582118087148,4.991856691605226,SN3
29,27739.9,5345881272.889999,2.6373932245228984,5.016442931596929,5355454465.29,2.64301846301015,5.035610099961044,5357295378.49,2.6264782869141956,4.978547376298752,SN3
30,27739.9,4243009749.090001,2.4787553237740707,4.44937860489592,5526127247.890001,2.646692947929403,5.0474334324925785,3265537139.2900004,1.9351455662021202,2.22254355007104,SN3
31,27739.9,6578125062.09,2.6652877444926855,5.1067730494767325,6713732208.290001,2.6663420450865347,5.11009706831808,6777085046.690001,2.666422165937167,5.110346818978236,SN3
32,27739.9,5161243534.49,2.630397624393986,4.994066422081668,3754346000.09,2.1894656913961663,3.299374392844805,5297525234.09,2.623254137776346,4.968042859750538,SN3
33,27739.9,4129527563.09,2.4955623703326206,4.514106706217601,5689548412.090001,2.6333001738248787,5.001131876102766,5416576534.89,2.609788745903372,4.920382397872345,SN3
